"V1";"V2";"V3";"V4";"V5"
"6";106;69;82;13;-300
"7";107;109;120;11;-300
"8";108;94;104;10;-300
"9";109;27;53;26;-300
"10";110;88;93;5;-300
"1";101;103;110;7;-300
"2";102;62;102;40;-300
"3";103;38;61;23;-300
"4";104;35;37;2;-300
"5";105;4;9;5;-300
"6";106;111;120;9;-300
"7";107;12;22;10;-300
"8";108;1;3;2;-300
"9";109;10;11;1;-300
"10";110;23;34;11;-300
"1";101;3;6;3;-300
"2";102;69;74;5;-300
"3";103;1;2;1;-300
"4";104;64;68;4;-300
"5";105;29;58;29;-300
"6";106;25;28;3;-300
"7";107;75;120;45;-300
"8";108;12;24;12;-300
"9";109;59;63;4;-300
"10";110;7;11;4;-300
"1";101;114;120;6;-300
"2";102;1;12;11;-300
"3";103;65;90;25;-300
"4";104;91;107;16;-300
"5";105;108;110;2;-300
"6";106;13;36;23;-300
"7";107;62;64;2;-300
"8";108;111;113;2;-300
"9";109;37;53;16;-300
"10";110;54;61;7;-300
"1";101;115;116;1;-300
"2";102;87;96;9;-300
"3";103;83;86;3;-300
"4";104;117;120;3;-300
"5";105;36;37;1;-300
"6";106;19;28;9;-300
"7";107;97;114;17;-300
"8";108;38;82;44;-300
"9";109;1;18;17;-300
"10";110;29;35;6;-300
"1";101;76;79;3;-300
"2";102;80;81;1;-300
"3";103;44;57;13;-300
"4";104;33;43;10;-300
"5";105;103;120;17;-300
"6";106;1;32;31;-300
"7";107;71;75;4;-300
"8";108;60;70;10;-300
"9";109;82;102;20;-300
"10";110;58;59;1;-300
"1";101;71;73;2;-300
"2";102;20;31;11;-300
"3";103;83;120;37;-300
"4";104;32;39;7;-300
"5";105;45;70;25;-300
"6";106;9;19;10;-300
"7";107;74;77;3;-300
"8";108;1;8;7;-300
"9";109;78;82;4;-300
"10";110;40;44;4;-300
"1";101;1;5;4;-300
"2";102;17;34;17;-300
"3";103;96;120;24;-300
"4";104;39;52;13;-300
"5";105;35;36;1;-300
"6";106;6;16;10;-300
"7";107;71;95;24;-300
"8";108;67;70;3;-300
"9";109;53;66;13;-300
"10";110;37;38;1;-300
"1";101;10;50;40;-300
"2";102;67;69;2;-300
"3";103;5;9;4;-300
"4";104;85;95;10;-300
"5";105;51;66;15;-300
"6";106;70;84;14;-300
"7";107;1;4;3;-300
"8";108;107;111;4;-300
"9";109;96;106;10;-300
"10";110;112;120;8;-300
"1";101;47;64;17;-300
"2";102;94;100;6;-300
"3";103;30;35;5;-300
"4";104;36;46;10;-300
"5";105;65;77;12;-300
"6";106;78;79;1;-300
"7";107;89;93;4;-300
"8";108;1;29;28;-300
"9";109;80;88;8;-300
"10";110;101;120;19;-300
"1";101;61;68;7;-300
"2";102;94;104;10;-300
"3";103;47;56;9;-300
"4";104;15;46;31;-300
"5";105;11;14;3;-300
"6";106;1;10;9;-300
"7";107;69;91;22;-300
"8";108;92;93;1;-300
"9";109;105;120;15;-300
"10";110;57;60;3;-300
"1";101;40;43;3;-300
"2";102;92;103;11;-300
"3";103;11;25;14;-300
"4";104;44;59;15;-300
"5";105;104;120;16;-300
"6";106;26;27;1;-300
"7";107;31;39;8;-300
"8";108;1;10;9;-300
"9";109;60;91;31;-300
"10";110;28;30;2;-300
"1";101;1;16;15;-300
"2";102;45;57;12;-300
"3";103;17;28;11;-300
"4";104;29;36;7;-300
"5";105;100;115;15;-300
"6";106;68;99;31;-300
"7";107;116;120;4;-300
"8";108;37;38;1;-300
"9";109;58;67;9;-300
"10";110;39;44;5;-300
"1";101;77;85;8;-300
"2";102;39;43;4;-300
"3";103;15;21;6;-300
"4";104;86;112;26;-300
"5";105;44;76;32;-300
"6";106;1;7;6;-300
"7";107;22;38;16;-300
"8";108;118;120;2;-300
"9";109;113;117;4;-300
"10";110;8;14;6;-300
"1";101;74;99;25;-300
"2";102;56;73;17;-300
"3";103;37;47;10;-300
"4";104;27;36;9;-300
"5";105;1;14;13;-300
"6";106;100;120;20;-300
"7";107;52;55;3;-300
"8";108;15;21;6;-300
"9";109;48;51;3;-300
"10";110;22;26;4;-300
"1";101;30;65;35;-300
"2";102;11;29;18;-300
"3";103;89;94;5;-300
"4";104;6;10;4;-300
"5";105;95;96;1;-300
"6";106;97;120;23;-300
"7";107;70;88;18;-300
"8";108;1;5;4;-300
"9";109;66;67;1;-300
"10";110;68;69;1;-300
"1";101;77;94;17;-300
"2";102;64;76;12;-300
"3";103;12;29;17;-300
"4";104;105;120;15;-300
"5";105;6;11;5;-300
"6";106;1;5;4;-300
"7";107;95;104;9;-300
"8";108;47;63;16;-300
"9";109;36;46;10;-300
"10";110;30;35;5;-300
"1";101;104;107;3;-300
"2";102;54;55;1;-300
"3";103;1;4;3;-300
"4";104;15;16;1;-300
"5";105;108;120;12;-300
"6";106;5;14;9;-300
"7";107;91;103;12;-300
"8";108;89;90;1;-300
"9";109;17;53;36;-300
"10";110;56;88;32;-300
"1";101;66;81;15;-300
"2";102;82;120;38;-300
"3";103;23;30;7;-300
"4";104;40;65;25;-300
"5";105;1;9;8;-300
"6";106;38;39;1;-300
"7";107;31;35;4;-300
"8";108;12;22;10;-300
"9";109;36;37;1;-300
"10";110;10;11;1;-300
"1";101;83;93;10;-300
"2";102;56;78;22;-300
"3";103;1;5;4;-300
"4";104;54;55;1;-300
"5";105;51;53;2;-300
"6";106;6;46;40;-300
"7";107;94;106;12;-300
"8";108;107;120;13;-300
"9";109;79;82;3;-300
"10";110;47;50;3;-300
"1";101;105;108;3;-300
"2";102;54;60;6;-300
"3";103;83;87;4;-300
"4";104;61;67;6;-300
"5";105;1;26;25;-300
"6";106;68;82;14;-300
"7";107;109;120;11;-300
"8";108;94;104;10;-300
"9";109;27;53;26;-300
"10";110;88;93;5;-300
"1";101;103;110;7;-300
"2";102;62;102;40;-300
"3";103;38;61;23;-300
"4";104;35;37;2;-300
"5";105;4;9;5;-300
"6";106;111;120;9;-300
"7";107;12;22;10;-300
"8";108;1;3;2;-300
"9";109;10;11;1;-300
"10";110;23;34;11;-300
"1";101;3;6;3;-300
"2";102;70;75;5;-300
"3";103;1;2;1;-300
"4";104;65;69;4;-300
"5";105;29;59;30;-300
"6";106;25;28;3;-300
"7";107;76;120;44;-300
"8";108;12;24;12;-300
"9";109;60;64;4;-300
"10";110;7;11;4;-300
"1";101;104;120;16;-300
"2";102;10;26;16;-300
"3";103;55;80;25;-300
"4";104;81;97;16;-300
"5";105;98;100;2;-300
"6";106;1;9;8;-300
"7";107;52;54;2;-300
"8";108;101;103;2;-300
"9";109;27;43;16;-300
"10";110;44;51;7;-300
"1";101;115;116;1;-300
"2";102;87;96;9;-300
"3";103;83;86;3;-300
"4";104;117;120;3;-300
"5";105;36;37;1;-300
"6";106;19;28;9;-300
"7";107;97;114;17;-300
"8";108;38;82;44;-300
"9";109;1;18;17;-300
"10";110;29;35;6;-300
"1";101;76;79;3;-300
"2";102;80;81;1;-300
"3";103;44;57;13;-300
"4";104;33;43;10;-300
"5";105;103;120;17;-300
"6";106;1;32;31;-300
"7";107;71;75;4;-300
"8";108;60;70;10;-300
"9";109;82;102;20;-300
"10";110;58;59;1;-300
"1";101;71;73;2;-300
"2";102;20;31;11;-300
"3";103;83;120;37;-300
"4";104;32;39;7;-300
"5";105;45;70;25;-300
"6";106;9;19;10;-300
"7";107;74;77;3;-300
"8";108;1;8;7;-300
"9";109;78;82;4;-300
"10";110;40;44;4;-300
"1";101;1;5;4;-300
"2";102;17;34;17;-300
"3";103;96;120;24;-300
"4";104;39;52;13;-300
"5";105;35;36;1;-300
"6";106;6;16;10;-300
"7";107;71;95;24;-300
"8";108;67;70;3;-300
"9";109;53;66;13;-300
"10";110;37;38;1;-300
"1";101;10;50;40;-300
"2";102;67;69;2;-300
"3";103;5;9;4;-300
"4";104;85;96;11;-300
"5";105;51;66;15;-300
"6";106;70;84;14;-300
"7";107;1;4;3;-300
"8";108;108;112;4;-300
"9";109;97;107;10;-300
"10";110;113;120;7;-300
"1";101;47;64;17;-300
"2";102;94;100;6;-300
"3";103;30;35;5;-300
"4";104;36;46;10;-300
"5";105;65;77;12;-300
"6";106;78;79;1;-300
"7";107;89;93;4;-300
"8";108;1;29;28;-300
"9";109;80;88;8;-300
"10";110;101;120;19;-300
"1";101;61;68;7;-300
"2";102;94;104;10;-300
"3";103;47;56;9;-300
"4";104;15;46;31;-300
"5";105;11;14;3;-300
"6";106;1;10;9;-300
"7";107;69;91;22;-300
"8";108;92;93;1;-300
"9";109;105;120;15;-300
"10";110;57;60;3;-300
"1";101;40;43;3;-300
"2";102;92;103;11;-300
"3";103;11;25;14;-300
"4";104;44;59;15;-300
"5";105;104;120;16;-300
"6";106;26;27;1;-300
"7";107;31;39;8;-300
"8";108;1;10;9;-300
"9";109;60;91;31;-300
"10";110;28;30;2;-300
"1";101;1;16;15;-300
"2";102;45;57;12;-300
"3";103;17;28;11;-300
"4";104;29;36;7;-300
"5";105;100;115;15;-300
"6";106;68;99;31;-300
"7";107;116;120;4;-300
"8";108;37;38;1;-300
"9";109;58;67;9;-300
"10";110;39;44;5;-300
"1";101;77;85;8;-300
"2";102;39;43;4;-300
"3";103;15;21;6;-300
"4";104;86;112;26;-300
"5";105;44;76;32;-300
"6";106;1;7;6;-300
"7";107;22;38;16;-300
"8";108;118;120;2;-300
"9";109;113;117;4;-300
"10";110;8;14;6;-300
"1";101;74;99;25;-300
"2";102;56;73;17;-300
"3";103;37;47;10;-300
"4";104;27;36;9;-300
"5";105;1;14;13;-300
"6";106;100;120;20;-300
"7";107;52;55;3;-300
"8";108;15;21;6;-300
"9";109;48;51;3;-300
"10";110;22;26;4;-300
"1";101;30;65;35;-300
"2";102;11;29;18;-300
"3";103;89;94;5;-300
"4";104;6;10;4;-300
"5";105;95;96;1;-300
"6";106;97;120;23;-300
"7";107;70;88;18;-300
"8";108;1;5;4;-300
"9";109;66;67;1;-300
"10";110;68;69;1;-300
"1";101;77;94;17;-300
"2";102;64;76;12;-300
"3";103;12;29;17;-300
"4";104;105;120;15;-300
"5";105;6;11;5;-300
"6";106;1;5;4;-300
"7";107;95;104;9;-300
"8";108;47;63;16;-300
"9";109;36;46;10;-300
"10";110;30;35;5;-300
"1";101;103;106;3;-300
"2";102;54;55;1;-300
"3";103;1;4;3;-300
"4";104;15;16;1;-300
"5";105;107;120;13;-300
"6";106;5;14;9;-300
"7";107;91;102;11;-300
"8";108;89;90;1;-300
"9";109;17;53;36;-300
"10";110;56;88;32;-300
"1";101;66;73;7;-300
"2";102;74;120;46;-300
"3";103;23;30;7;-300
"4";104;40;65;25;-300
"5";105;1;9;8;-300
"6";106;38;39;1;-300
"7";107;31;35;4;-300
"8";108;12;22;10;-300
"9";109;36;37;1;-300
"10";110;10;11;1;-300
"1";101;83;93;10;-300
"2";102;56;78;22;-300
"3";103;1;5;4;-300
"4";104;54;55;1;-300
"5";105;51;53;2;-300
"6";106;6;46;40;-300
"7";107;94;106;12;-300
"8";108;107;120;13;-300
"9";109;79;82;3;-300
"10";110;47;50;3;-300
"1";101;105;108;3;-300
"2";102;54;60;6;-300
"3";103;83;87;4;-300
"4";104;61;67;6;-300
"5";105;1;26;25;-300
"6";106;68;82;14;-300
"7";107;109;120;11;-300
"8";108;94;104;10;-300
"9";109;27;53;26;-300
"10";110;88;93;5;-300
"1";101;103;110;7;-300
"2";102;62;102;40;-300
"3";103;38;61;23;-300
"4";104;35;37;2;-300
"5";105;4;9;5;-300
"6";106;111;120;9;-300
"7";107;12;22;10;-300
"8";108;1;3;2;-300
"9";109;10;11;1;-300
"10";110;23;34;11;-300
"1";101;3;6;3;-300
"2";102;70;75;5;-300
"3";103;1;2;1;-300
"4";104;65;69;4;-300
"5";105;29;59;30;-300
"6";106;25;28;3;-300
"7";107;76;120;44;-300
"8";108;12;24;12;-300
"9";109;60;64;4;-300
"10";110;7;11;4;-300
"1";101;104;120;16;-300
"2";102;10;26;16;-300
"3";103;55;80;25;-300
"4";104;81;97;16;-300
"5";105;98;100;2;-300
"6";106;1;9;8;-300
"7";107;52;54;2;-300
"8";108;101;103;2;-300
"9";109;27;43;16;-300
"10";110;44;51;7;-300
"1";101;71;73;2;-300
"2";102;21;32;11;-300
"3";103;83;120;37;-300
"4";104;33;40;7;-300
"5";105;46;70;24;-300
"6";106;9;20;11;-300
"7";107;74;77;3;-300
"8";108;1;8;7;-300
"9";109;78;82;4;-300
"10";110;41;45;4;-300
"1";101;66;73;7;-300
"2";102;74;120;46;-300
"3";103;23;30;7;-300
"4";104;40;65;25;-300
"5";105;1;9;8;-300
"6";106;38;39;1;-300
"7";107;31;35;4;-300
"8";108;12;22;10;-300
"9";109;36;37;1;-300
"10";110;10;11;1;-300
"1";101;71;73;2;-300
"2";102;20;31;11;-300
"3";103;83;120;37;-300
"4";104;32;39;7;-300
"5";105;45;70;25;-300
"6";106;9;19;10;-300
"7";107;74;77;3;-300
"8";108;1;8;7;-300
"9";109;78;82;4;-300
"10";110;40;44;4;-300
"1";101;66;73;7;-300
"2";102;74;120;46;-300
"3";103;23;30;7;-300
"4";104;40;65;25;-300
"5";105;1;9;8;-300
"6";106;38;39;1;-300
"7";107;31;35;4;-300
"8";108;12;22;10;-300
"9";109;36;37;1;-300
"10";110;10;11;1;-300
"1";101;71;73;2;-300
"2";102;20;31;11;-300
"3";103;83;120;37;-300
"4";104;32;39;7;-300
"5";105;45;70;25;-300
"6";106;9;19;10;-300
"7";107;74;77;3;-300
"8";108;1;8;7;-300
"9";109;78;82;4;-300
"10";110;40;44;4;-300
"1";101;66;73;7;-300
"2";102;74;120;46;-300
"3";103;23;30;7;-300
"4";104;40;65;25;-300
"5";105;1;9;8;-300
"6";106;38;39;1;-300
"7";107;31;35;4;-300
"8";108;12;22;10;-300
"9";109;36;37;1;-300
"10";110;10;11;1;-300
"1";101;114;115;1;-300
"2";102;87;96;9;-300
"3";103;83;86;3;-300
"4";104;116;120;4;-300
"5";105;36;37;1;-300
"6";106;19;28;9;-300
"7";107;97;113;16;-300
"8";108;38;82;44;-300
"9";109;1;18;17;-300
"10";110;29;35;6;-300
"1";101;76;79;3;-300
"2";102;80;81;1;-300
"3";103;44;57;13;-300
"4";104;33;43;10;-300
"5";105;102;120;18;-300
"6";106;1;32;31;-300
"7";107;71;75;4;-300
"8";108;60;70;10;-300
"9";109;82;101;19;-300
"10";110;58;59;1;-300
"1";101;71;73;2;-300
"2";102;20;31;11;-300
"3";103;84;120;36;-300
"4";104;32;39;7;-300
"5";105;45;70;25;-300
"6";106;9;19;10;-300
"7";107;74;77;3;-300
"8";108;1;8;7;-300
"9";109;78;83;5;-300
"10";110;40;44;4;-300
"1";101;1;5;4;-300
"2";102;17;34;17;-300
"3";103;96;120;24;-300
"4";104;39;52;13;-300
"5";105;35;36;1;-300
"6";106;6;16;10;-300
"7";107;71;95;24;-300
"8";108;67;70;3;-300
"9";109;53;66;13;-300
"10";110;37;38;1;-300
"1";101;10;50;40;-300
"2";102;67;69;2;-300
"3";103;5;9;4;-300
"4";104;85;96;11;-300
"5";105;51;66;15;-300
"6";106;70;84;14;-300
"7";107;1;4;3;-300
"8";108;108;112;4;-300
"9";109;97;107;10;-300
"10";110;113;120;7;-300
"1";101;46;64;18;-300
"2";102;94;100;6;-300
"3";103;29;34;5;-300
"4";104;35;45;10;-300
"5";105;65;77;12;-300
"6";106;78;79;1;-300
"7";107;89;93;4;-300
"8";108;1;28;27;-300
"9";109;80;88;8;-300
"10";110;101;120;19;-300
"1";101;61;68;7;-300
"2";102;94;104;10;-300
"3";103;47;56;9;-300
"4";104;15;46;31;-300
"5";105;11;14;3;-300
"6";106;1;10;9;-300
"7";107;69;91;22;-300
"8";108;92;93;1;-300
"9";109;105;120;15;-300
"10";110;57;60;3;-300
"1";101;40;43;3;-300
"2";102;93;103;10;-300
"3";103;11;25;14;-300
"4";104;44;59;15;-300
"5";105;104;120;16;-300
"6";106;26;27;1;-300
"7";107;31;39;8;-300
"8";108;1;10;9;-300
"9";109;60;92;32;-300
"10";110;28;30;2;-300
"1";101;1;16;15;-300
"2";102;45;57;12;-300
"3";103;17;28;11;-300
"4";104;29;36;7;-300
"5";105;100;115;15;-300
"6";106;68;99;31;-300
"7";107;116;120;4;-300
"8";108;37;38;1;-300
"9";109;58;67;9;-300
"10";110;39;44;5;-300
"1";101;77;85;8;-300
"2";102;39;43;4;-300
"3";103;15;21;6;-300
"4";104;86;112;26;-300
"5";105;44;76;32;-300
"6";106;1;7;6;-300
"7";107;22;38;16;-300
"8";108;118;120;2;-300
"9";109;113;117;4;-300
"10";110;8;14;6;-300
"1";101;74;99;25;-300
"2";102;56;73;17;-300
"3";103;37;47;10;-300
"4";104;27;36;9;-300
"5";105;1;14;13;-300
"6";106;100;120;20;-300
"7";107;52;55;3;-300
"8";108;15;21;6;-300
"9";109;48;51;3;-300
"10";110;22;26;4;-300
"1";101;30;65;35;-300
"2";102;11;29;18;-300
"3";103;89;94;5;-300
"4";104;6;10;4;-300
"5";105;95;96;1;-300
"6";106;97;120;23;-300
"7";107;70;88;18;-300
"8";108;1;5;4;-300
"9";109;66;67;1;-300
"10";110;68;69;1;-300
"1";101;77;94;17;-300
"2";102;63;76;13;-300
"3";103;12;28;16;-300
"4";104;105;120;15;-300
"5";105;6;11;5;-300
"6";106;1;5;4;-300
"7";107;95;104;9;-300
"8";108;46;62;16;-300
"9";109;35;45;10;-300
"10";110;29;34;5;-300
"1";101;103;106;3;-300
"2";102;26;55;29;-300
"3";103;1;4;3;-300
"4";104;15;16;1;-300
"5";105;107;120;13;-300
"6";106;5;14;9;-300
"7";107;91;102;11;-300
"8";108;89;90;1;-300
"9";109;17;25;8;-300
"10";110;56;88;32;-300
"1";101;66;73;7;-300
"2";102;74;120;46;-300
"3";103;23;30;7;-300
"4";104;40;65;25;-300
"5";105;1;9;8;-300
"6";106;38;39;1;-300
"7";107;31;35;4;-300
"8";108;12;22;10;-300
"9";109;36;37;1;-300
"10";110;10;11;1;-300
"1";101;83;93;10;-300
"2";102;56;78;22;-300
"3";103;1;5;4;-300
"4";104;54;55;1;-300
"5";105;51;53;2;-300
"6";106;6;46;40;-300
"7";107;94;106;12;-300
"8";108;107;120;13;-300
"9";109;79;82;3;-300
"10";110;47;50;3;-300
"1";101;105;108;3;-300
"2";102;54;60;6;-300
"3";103;83;87;4;-300
"4";104;61;67;6;-300
"5";105;1;26;25;-300
"6";106;68;82;14;-300
"7";107;109;120;11;-300
"8";108;94;104;10;-300
"9";109;27;53;26;-300
"10";110;88;93;5;-300
"1";101;103;110;7;-300
"2";102;61;102;41;-300
"3";103;37;60;23;-300
"4";104;34;36;2;-300
"5";105;4;9;5;-300
"6";106;111;120;9;-300
"7";107;12;22;10;-300
"8";108;1;3;2;-300
"9";109;10;11;1;-300
"10";110;23;33;10;-300
"1";101;3;6;3;-300
"2";102;70;75;5;-300
"3";103;1;2;1;-300
"4";104;65;69;4;-300
"5";105;29;59;30;-300
"6";106;25;28;3;-300
"7";107;76;120;44;-300
"8";108;12;24;12;-300
"9";109;60;64;4;-300
"10";110;7;11;4;-300
"1";101;104;120;16;-300
"2";102;10;26;16;-300
"3";103;55;81;26;-300
"4";104;82;97;15;-300
"5";105;98;100;2;-300
"6";106;1;9;8;-300
"7";107;52;54;2;-300
"8";108;101;103;2;-300
"9";109;27;43;16;-300
"10";110;44;51;7;-300
"1";101;115;116;1;-300
"2";102;87;96;9;-300
"3";103;83;86;3;-300
"4";104;117;120;3;-300
"5";105;36;37;1;-300
"6";106;19;28;9;-300
"7";107;97;114;17;-300
"8";108;38;82;44;-300
"9";109;1;18;17;-300
"10";110;29;35;6;-300
"1";101;76;79;3;-300
"2";102;80;81;1;-300
"3";103;44;57;13;-300
"4";104;33;43;10;-300
"5";105;103;120;17;-300
"6";106;1;32;31;-300
"7";107;71;75;4;-300
"8";108;60;70;10;-300
"9";109;82;102;20;-300
"10";110;58;59;1;-300
"1";101;71;73;2;-300
"2";102;20;31;11;-300
"3";103;83;120;37;-300
"4";104;32;39;7;-300
"5";105;45;70;25;-300
"6";106;9;19;10;-300
"7";107;74;77;3;-300
"8";108;1;8;7;-300
"9";109;78;82;4;-300
"10";110;40;44;4;-300
"1";101;1;5;4;-300
"2";102;17;34;17;-300
"3";103;96;120;24;-300
"4";104;39;52;13;-300
"5";105;35;36;1;-300
"6";106;6;16;10;-300
"7";107;71;95;24;-300
"8";108;67;70;3;-300
"9";109;53;66;13;-300
"10";110;37;38;1;-300
"1";101;10;50;40;-300
"2";102;67;69;2;-300
"3";103;5;9;4;-300
"4";104;85;96;11;-300
"5";105;51;66;15;-300
"6";106;70;84;14;-300
"7";107;1;4;3;-300
"8";108;108;112;4;-300
"9";109;97;107;10;-300
"10";110;113;120;7;-300
"1";101;47;64;17;-300
"2";102;94;100;6;-300
"3";103;30;35;5;-300
"4";104;36;46;10;-300
"5";105;65;77;12;-300
"6";106;78;79;1;-300
"7";107;89;93;4;-300
"8";108;1;29;28;-300
"9";109;80;88;8;-300
"10";110;101;120;19;-300
"1";101;61;68;7;-300
"2";102;94;104;10;-300
"3";103;47;56;9;-300
"4";104;15;46;31;-300
"5";105;11;14;3;-300
"6";106;1;10;9;-300
"7";107;69;91;22;-300
"8";108;92;93;1;-300
"9";109;105;120;15;-300
"10";110;57;60;3;-300
"1";101;40;43;3;-300
"2";102;92;103;11;-300
"3";103;11;25;14;-300
"4";104;44;59;15;-300
"5";105;104;120;16;-300
"6";106;26;27;1;-300
"7";107;31;39;8;-300
"8";108;1;10;9;-300
"9";109;60;91;31;-300
"10";110;28;30;2;-300
"1";101;1;16;15;-300
"2";102;45;57;12;-300
"3";103;17;28;11;-300
"4";104;29;36;7;-300
"5";105;100;115;15;-300
"6";106;68;99;31;-300
"7";107;116;120;4;-300
"8";108;37;38;1;-300
"9";109;58;67;9;-300
"10";110;39;44;5;-300
"1";101;77;85;8;-300
"2";102;39;43;4;-300
"3";103;15;21;6;-300
"4";104;86;112;26;-300
"5";105;44;76;32;-300
"6";106;1;7;6;-300
"7";107;22;38;16;-300
"8";108;118;120;2;-300
"9";109;113;117;4;-300
"10";110;8;14;6;-300
"1";101;74;99;25;-300
"2";102;56;73;17;-300
"3";103;37;47;10;-300
"4";104;27;36;9;-300
"5";105;1;14;13;-300
"6";106;100;120;20;-300
"7";107;52;55;3;-300
"8";108;15;21;6;-300
"9";109;48;51;3;-300
"10";110;22;26;4;-300
"1";101;30;65;35;-300
"2";102;11;29;18;-300
"3";103;89;94;5;-300
"4";104;6;10;4;-300
"5";105;95;96;1;-300
"6";106;97;120;23;-300
"7";107;70;88;18;-300
"8";108;1;5;4;-300
"9";109;66;67;1;-300
"10";110;68;69;1;-300
"1";101;77;94;17;-300
"2";102;64;76;12;-300
"3";103;12;29;17;-300
"4";104;105;120;15;-300
"5";105;6;11;5;-300
"6";106;1;5;4;-300
"7";107;95;104;9;-300
"8";108;47;63;16;-300
"9";109;36;46;10;-300
"10";110;30;35;5;-300
"1";101;103;106;3;-300
"2";102;54;55;1;-300
"3";103;1;4;3;-300
"4";104;15;16;1;-300
"5";105;107;120;13;-300
"6";106;5;14;9;-300
"7";107;91;102;11;-300
"8";108;89;90;1;-300
"9";109;17;53;36;-300
"10";110;56;88;32;-300
"1";101;66;73;7;-300
"2";102;74;120;46;-300
"3";103;23;30;7;-300
"4";104;40;65;25;-300
"5";105;1;9;8;-300
"6";106;38;39;1;-300
"7";107;31;35;4;-300
"8";108;12;22;10;-300
"9";109;36;37;1;-300
"10";110;10;11;1;-300
"1";101;83;93;10;-300
"2";102;56;78;22;-300
"3";103;1;5;4;-300
"4";104;54;55;1;-300
"5";105;51;53;2;-300
"6";106;6;46;40;-300
"7";107;94;106;12;-300
"8";108;107;120;13;-300
"9";109;79;82;3;-300
"10";110;47;50;3;-300
"1";101;105;108;3;-300
"2";102;54;60;6;-300
"3";103;83;87;4;-300
"4";104;61;67;6;-300
"5";105;1;26;25;-300
"6";106;68;82;14;-300
"7";107;109;120;11;-300
"8";108;94;104;10;-300
"9";109;27;53;26;-300
"10";110;88;93;5;-300
"1";101;103;110;7;-300
"2";102;62;102;40;-300
"3";103;38;61;23;-300
"4";104;35;37;2;-300
"5";105;4;9;5;-300
"6";106;111;120;9;-300
"7";107;12;22;10;-300
"8";108;1;3;2;-300
"9";109;10;11;1;-300
"10";110;23;34;11;-300
"1";101;3;6;3;-300
"2";102;70;75;5;-300
"3";103;1;2;1;-300
"4";104;65;69;4;-300
"5";105;29;59;30;-300
"6";106;25;28;3;-300
"7";107;76;120;44;-300
"8";108;12;24;12;-300
"9";109;60;64;4;-300
"10";110;7;11;4;-300
"1";101;104;120;16;-300
"2";102;10;26;16;-300
"3";103;55;80;25;-300
"4";104;81;97;16;-300
"5";105;98;100;2;-300
"6";106;1;9;8;-300
"7";107;52;54;2;-300
"8";108;101;103;2;-300
"9";109;27;43;16;-300
"10";110;44;51;7;-300
"1";101;115;116;1;-300
"2";102;87;96;9;-300
"3";103;83;86;3;-300
"4";104;117;120;3;-300
"5";105;36;37;1;-300
"6";106;19;28;9;-300
"7";107;97;114;17;-300
"8";108;38;82;44;-300
"9";109;1;18;17;-300
"10";110;29;35;6;-300
"1";101;76;79;3;-300
"2";102;80;81;1;-300
"3";103;44;57;13;-300
"4";104;33;43;10;-300
"5";105;103;120;17;-300
"6";106;1;32;31;-300
"7";107;71;75;4;-300
"8";108;60;70;10;-300
"9";109;82;102;20;-300
"10";110;58;59;1;-300
"1";101;71;73;2;-300
"2";102;20;31;11;-300
"3";103;83;120;37;-300
"4";104;32;39;7;-300
"5";105;45;70;25;-300
"6";106;9;19;10;-300
"7";107;74;77;3;-300
"8";108;1;8;7;-300
"9";109;78;82;4;-300
"10";110;40;44;4;-300
"1";101;1;5;4;-300
"2";102;17;34;17;-300
"3";103;96;120;24;-300
"4";104;39;52;13;-300
"5";105;35;36;1;-300
"6";106;6;16;10;-300
"7";107;71;95;24;-300
"8";108;67;70;3;-300
"9";109;53;66;13;-300
"10";110;37;38;1;-300
"1";101;10;50;40;-300
"2";102;67;69;2;-300
"3";103;5;9;4;-300
"4";104;85;96;11;-300
"5";105;51;66;15;-300
"6";106;70;84;14;-300
"7";107;1;4;3;-300
"8";108;108;112;4;-300
"9";109;97;107;10;-300
"10";110;113;120;7;-300
"1";101;46;64;18;-300
"2";102;94;100;6;-300
"3";103;29;34;5;-300
"4";104;35;45;10;-300
"5";105;65;77;12;-300
"6";106;78;79;1;-300
"7";107;89;93;4;-300
"8";108;1;28;27;-300
"9";109;80;88;8;-300
"10";110;101;120;19;-300
"1";101;61;68;7;-300
"2";102;94;104;10;-300
"3";103;47;56;9;-300
"4";104;15;46;31;-300
"5";105;11;14;3;-300
"6";106;1;10;9;-300
"7";107;69;91;22;-300
"8";108;92;93;1;-300
"9";109;105;120;15;-300
"10";110;57;60;3;-300
"1";101;40;43;3;-300
"2";102;92;103;11;-300
"3";103;11;25;14;-300
"4";104;44;59;15;-300
"5";105;104;120;16;-300
"6";106;26;27;1;-300
"7";107;31;39;8;-300
"8";108;1;10;9;-300
"9";109;60;91;31;-300
"10";110;28;30;2;-300
"1";101;1;16;15;-300
"2";102;45;57;12;-300
"3";103;17;28;11;-300
"4";104;29;36;7;-300
"5";105;100;115;15;-300
"6";106;68;99;31;-300
"7";107;116;120;4;-300
"8";108;37;38;1;-300
"9";109;58;67;9;-300
"10";110;39;44;5;-300
"1";101;77;85;8;-300
"2";102;39;43;4;-300
"3";103;15;21;6;-300
"4";104;86;112;26;-300
"5";105;44;76;32;-300
"6";106;1;7;6;-300
"7";107;22;38;16;-300
"8";108;118;120;2;-300
"9";109;113;117;4;-300
"10";110;8;14;6;-300
"1";101;74;99;25;-300
"2";102;56;73;17;-300
"3";103;37;47;10;-300
